分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 106 ms, 最高速率: 8.37 M/s, 平均速率: 5.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 117 ms, 最高速率: 7.54 M/s, 平均速率: 4.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东南卫视, 有效: 3, IPv4: 4, IPv6: 0, 最小延迟: 123 ms, 最高速率: 3.50 M/s, 平均速率: 2.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 311 ms, 最高速率: 18.91 M/s, 平均速率: 5.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 268 ms, 最高速率: 2.00 M/s, 平均速率: 1.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广西卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 210 ms, 最高速率: 2.46 M/s, 平均速率: 1.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河南卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 472 ms, 最高速率: 0.96 M/s, 平均速率: 0.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 59 ms, 最高速率: 6.20 M/s, 平均速率: 3.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 68 ms, 最高速率: 9.03 M/s, 平均速率: 4.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 4, IPv6: 0, 最小延迟: 523 ms, 最高速率: 1.09 M/s, 平均速率: 1.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 54 ms, 最高速率: 28.42 M/s, 平均速率: 14.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 127 ms, 最高速率: 36.58 M/s, 平均速率: 10.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 36 ms, 最高速率: 63.38 M/s, 平均速率: 25.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 36 ms, 最高速率: 63.38 M/s, 平均速率: 25.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 47 ms, 最高速率: 69.53 M/s, 平均速率: 23.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山西卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 168 ms, 最高速率: 14.52 M/s, 平均速率: 7.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 84 ms, 最高速率: 47.02 M/s, 平均速率: 15.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 142 ms, 最高速率: 33.69 M/s, 平均速率: 14.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 青海卫视, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 160 ms, 最高速率: 5.95 M/s, 平均速率: 4.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山东卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 60 ms, 最高速率: 8.74 M/s, 平均速率: 5.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 66 ms, 最高速率: 17.70 M/s, 平均速率: 10.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 3, IPv4: 4, IPv6: 0, 最小延迟: 119 ms, 最高速率: 17.63 M/s, 平均速率: 7.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 376 ms, 最高速率: 11.28 M/s, 平均速率: 4.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 4, IPv4: 5, IPv6: 0, 最小延迟: 159 ms, 最高速率: 3.26 M/s, 平均速率: 1.66 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东珠江, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 72 ms, 最高速率: 6.45 M/s, 平均速率: 3.71 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东体育, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 87 ms, 最高速率: 5.68 M/s, 平均速率: 5.68 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 62 ms, 最高速率: 11.55 M/s, 平均速率: 11.55 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广东民生, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 110 ms, 最高速率: 4.61 M/s, 平均速率: 3.88 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 4, IPv4: 6, IPv6: 0, 最小延迟: 47 ms, 最高速率: 54.22 M/s, 平均速率: 22.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 36 ms, 最高速率: 8.56 M/s, 平均速率: 4.36 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️广东频道, 名称: 广州综合, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 347 ms, 最高速率: 0.92 M/s, 平均速率: 0.50 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 云南卫视, 有效: 3, IPv4: 4, IPv6: 0, 最小延迟: 41 ms, 最高速率: 9.33 M/s, 平均速率: 8.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
